Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
9/14/2020,Roche Borthers112e 508-3762091 MA,Roche Borthers112e 508-3762091 MA,173.06,debit,Groceries,Citi® Double Cash Card,,
9/13/2020,Roche Borthers112e 508-3762091 MA,Roche Borthers112e 508-3762091 MA,1,debit,Groceries,Citi® Double Cash Card,,
9/7/2020,Penzeys Ltd.,PENZEYS LTD WAUWATOSA WI,66.73,debit,Groceries,Citi® Double Cash Card,,
9/14/2020,JEANNE D ARC CREDIT UNION,JEANNE D ARC CREDIT UNION,200,debit,Transfer,Life,,
9/13/2020,Mercedes,VZC*MERCEDES MBRACE 8669909007 GA,29.75,debit,Business Services,Citi® Double Cash Card,,
9/13/2020,MAIN STREET BAGEL FACT HUDSON MA,MAIN STREET BAGEL FACT HUDSON MA,12.64,debit,Alcohol & Bars,Citi® Double Cash Card,,
9/13/2020,Georgetown Pottery,GEORGETOWN POTTERY GEORGETOWN ME,53,debit,Business Services,Citi® Double Cash Card,,
9/13/2020,Concord Gas,CONCORD GAS CONCORD MA,41.46,debit,Gas & Fuel,Citi® Double Cash Card,,
9/13/2020,MAIN STREET BAGEL FACT HUDSON MA,MAIN STREET BAGEL FACT HUDSON MA,2.75,debit,Alcohol & Bars,Citi® Double Cash Card,,
9/11/2020,Dunkin Donuts,DUNKIN #336449 CONCORD MA,7.11,debit,Coffee Shops,Citi® Double Cash Card,,
9/11/2020,Emmas Cafe,EMMAS CAFE STOW MA,9.56,debit,Restaurants,Citi® Double Cash Card,,
9/11/2020,THEATRE CREAMERY MAYNARD MA,SQ *THEATRE CREAMERY MAYNARD MA,8,debit,Restaurants,Citi® Double Cash Card,,
9/11/2020,First Republic,FIRST REPUBLIC,27.3,credit,Bonus,Deposits,,
9/11/2020,BANNER LIFE,BANNER LIFE,124.35,debit,Life Insurance,CHECKING Account,,
9/10/2020,TWIN SEAFOOD ACTON MA,TWIN SEAFOOD ACTON MA,40.42,debit,Restaurants,Citi® Double Cash Card,,
9/10/2020,TRANSFER TO CK 9770,TRANSFER TO CK    9770,150,debit,Transfer,Fee Free Checking,,
9/10/2020,N/A,N/A,628,debit,Eyecare,CHECKING Account,,
9/9/2020,Amazon,AMAZON RETAIL SEATTLE WA Mrs. Meyer's Clean Day Liquid SHIPPING AND TAX,12.08,debit,Uncategorized,Amazon Prime Store Card,,
9/9/2020,Russell's Convenience Store,RUSSELL`S CONVENIENCE MAYNARD MA,210,debit,Groceries,Citi® Double Cash Card,,
9/8/2020,Shaw's,SHAWS OSCO 2584 STOW MA,24.04,debit,Groceries,Citi® Double Cash Card,,
9/11/2020,First Republic,FIRST REPUBLIC,27.3,credit,Bonus,Deposits,,
